地点,短评,出发时间,天数,人均费用,人物,玩法,浏览量,详情页
阳朔,遇见阳朔的光与影，晨与昏，山与水,2021/09/24,4,5000,闺蜜,深度游 摄影 赏秋,20,http://travel.qunar.com/travelbook/note/7706235
喀纳斯,【自驾·北疆】从成都狂奔8000公里，沦陷在北疆的深秋,2021/09/24,12,5000,情侣,自驾 深度游 环游 国庆 赏秋,4380,http://travel.qunar.com/travelbook/note/7705894
无锡,国庆四日无锡游——没法去大海边的话，就去太湖吧~,2021/10/05,5,1000,亲子,,19,http://travel.qunar.com/travelbook/note/7705873
南昌,用脚步丈量英雄城市︱南昌,2021/10/05,5,2000,闺蜜,第一次 深度游 美食 国庆,2204,http://travel.qunar.com/travelbook/note/7705734
圣巴托洛梅－德蒂拉哈纳,等风来，不如追风去——2021年国庆，赴一场川西的约,2021/10/01,5,2000,亲子,自驾 国庆,2957,http://travel.qunar.com/travelbook/note/7705572
九江,江西九江  牵起你的手，邂逅我们的庐山恋,2021/09/22,4,3000,情侣,深度游 短途周末 自驾 中秋节 国庆,2.9万,http://travel.qunar.com/travelbook/note/7705385
贵阳,五上贵州‖我和贵州的不了情,2021/06/05,16,6200,三五好友,环游 美食 摄影 夏季,4594,http://travel.qunar.com/travelbook/note/7705360
阳朔,读懂【桂林】读懂一个人，了解一座城。桂林旅游/桂林旅游攻略/桂林自由行,2021/10/08,4,1500,家庭,深度游 美食 摄影 暑假,3505,http://travel.qunar.com/travelbook/note/7704994
霞浦,野游在大嵛山岛——中国十大最美海岛,2021/10/01,3,800,独自一人,第一次 深度游 徒步 国庆 冬季,1.2万,http://travel.qunar.com/travelbook/note/7704954
昆明,结婚三周年国庆云南自由行,2021/10/07,7,4300,情侣,第一次 国庆,6957,http://travel.qunar.com/travelbook/note/7704830
北京,人间忽晚，山河已秋，回忆里的北京秋日碎片,2020/11/05,4,,情侣,,2170,http://travel.qunar.com/travelbook/note/7705681
兰州,胡杨林、敦煌--我的一趟苦旅,2021/09/23,7,,独自一人,赏秋,4173,http://travel.qunar.com/travelbook/note/7704396
承德,京东，见证帝王兴衰的燕山山脉！自驾游：唐山、蓟州、承德！,2021/10/04,6,4500,独自一人,自驾 深度游 五一,2998,http://travel.qunar.com/travelbook/note/7704193
香格里拉,“香格里拉”地名召唤我去寻找，去感受，去追求,2021/09/28,5,,独自一人,深度游 环游 摄影 赏秋,7092,http://travel.qunar.com/travelbook/note/7704140
绍兴,绍兴游,2021/10/19,3,2000,独自一人,第一次 中秋节,9015,http://travel.qunar.com/travelbook/note/7703997
这个十一，足不出“沪”，自驾临港亲子游,这个十一，足不出“沪”，自驾临港亲子游,2021/10/01,3,1000,亲子,短途周末,7.5万,http://travel.qunar.com/travelbook/note/7703974
南京,走进高淳，打卡网红打卡地固城湾景区，品尝固城湖螃蟹,2021/10/02,1,,,,1.4万,http://travel.qunar.com/travelbook/note/7703951
青岛,青岛漫游记丨落雨的初秋，收到一封来自青岛的信,2021/10/02,1,,,,7692,http://travel.qunar.com/travelbook/note/7703856
淮北,安徽淮北丨运河寻梦游、一座古老又年轻的城市,2021/10/01,1,,,,7276,http://travel.qunar.com/travelbook/note/7703800
北海,丝路古港潮美北海，一次性打卡多个好玩好看的目的地,2021/09/25,4,2000,三五好友,深度游 海滨海岛,109,http://travel.qunar.com/travelbook/note/7703702
阿坝,青春在路上，世界在脚下！自驾川甘小众秘境,2021/09/18,7,2000,三五好友,自驾 赏秋,1.7万,http://travel.qunar.com/travelbook/note/7703500
济宁,"回望二十年--济宁,兖州",2021/07/24,4,500,独自一人,暑假,1.7万,http://travel.qunar.com/travelbook/note/7703480
海口,自驾海南环岛东线，从海口到三亚旅行，打卡万宁、陵水和保亭,2021/09/01,9,10000,三五好友,深度游 自驾,8003,http://travel.qunar.com/travelbook/note/7703434
肃南,西北最美的小众游路线：山水肃南，裕固家园,2021/09/17,5,1800,情侣,深度游 摄影,8504,http://travel.qunar.com/travelbook/note/7703425
宁波,8日游,2021/09/21,8,200,,,8151,http://travel.qunar.com/travelbook/note/7703152
龙脊梯田,拯救周末计划丨2天1晚丨稻谷丰收的龙脊梯田，金灿灿的一片谁不爱呢？,2020/10/17,2,600,三五好友,深度游 短途周末 自驾 赏秋,7845,http://travel.qunar.com/travelbook/note/7702701
襄阳,贰人叁日襄阳穷游记,2021/08/24,3,350,家庭,短途周末 穷游 暑假 夏季,4966,http://travel.qunar.com/travelbook/note/7702620
重庆,"重庆,成都,峨眉山12日游",2021/06/23,12,5000,家庭,深度游 暑假,1.1万,http://travel.qunar.com/travelbook/note/7702595
乌鲁木齐,第一次团游新疆,2021/09/13,10,9847,家庭,中秋节,9076,http://travel.qunar.com/travelbook/note/7702589
